2026-03-22 11:42:36,965 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 11:42:39,582 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 11:44:47,337 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 11:50:53,175 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 11:50:55,699 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 12:14:47,553 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 12:14:50,012 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 13:32:54,035 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 13:32:57,830 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 13:49:04,536 | INFO     | ITS_App:174 | [Location] Using fallback coordinates (Beijing)
2026-03-22 13:49:11,258 | INFO     | ITS_App:258 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 13:50:14,318 | INFO     | ITS_App:154 | [Location] IP location success: 117.162.112.68 → (33.872029, -118.245801)
2026-03-22 13:50:21,254 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (33.872028589385465, -118.24580061262462)
2026-03-22 13:51:29,431 | INFO     | ITS_App:154 | [Location] IP location success: 117.162.112.68 → (28.275237, 117.974394)
2026-03-22 13:51:32,600 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (28.275237281092302, 117.97439350685255)
2026-03-22 13:52:53,903 | INFO     | ITS_App:154 | [Location] IP location success: 117.162.112.68 → (28.275237, 117.974394)
2026-03-22 13:52:57,656 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (28.275237281092302, 117.97439350685255)
2026-03-22 15:38:54,959 | INFO     | ITS_App:12 | [Route] transfer to technical expert: test tech...
2026-03-22 15:38:54,959 | INFO     | ITS_App:36 | [Route] transfer to service expert: test service...
2026-03-22 15:40:15,920 | INFO     | ITS_App:36 | [Route] transfer to service expert: 怎么去颐和园...
2026-03-22 15:41:03,721 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 15:47:46,865 | INFO     | ITS_App:12 | [Route] 转交技术专家: test...
2026-03-22 15:47:46,866 | INFO     | ITS_App:36 | [Route] 转交业务专家: test...
2026-03-22 15:49:35,356 | INFO     | ITS_App:12 | [Route] 转交技术专家: 今天小米股价多少...
2026-03-22 15:50:00,675 | INFO     | ITS_App:12 | [Route] 转交技术专家: 如何用U盘安装Windows 7...
2026-03-22 15:50:34,589 | ERROR    | ITS_App:36 | 发送请求获取知识库服务下的知识库数据失败:Server error '500 Internal Server Error' for url 'http://127.0.0.1:8001/query'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500
2026-03-22 15:51:15,754 | INFO     | ITS_App:36 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 15:52:02,448 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 15:52:09,048 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 15:59:52,826 | INFO     | ITS_App:12 | [Route] 转交技术专家: 今天小米股价多少...
2026-03-22 16:00:00,926 | INFO     | ITS_App:12 | [Route] 转交技术专家: 如何用U盘安装Windows 7...
2026-03-22 16:00:46,896 | INFO     | ITS_App:12 | [Route] 转交技术专家: 今天小米股价多少...
2026-03-22 16:00:57,514 | INFO     | ITS_App:36 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 16:01:34,768 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 16:01:40,787 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 16:07:25,829 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 16:08:04,116 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 16:08:09,089 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 16:10:02,458 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 16:10:07,243 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 16:10:33,634 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 16:11:04,133 | INFO     | ITS_App:154 | [Location] IP location success: 117.162.112.68 → (28.275237, 117.974394)
2026-03-22 16:11:09,337 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (28.275237281092302, 117.97439350685255)
2026-03-22 16:13:36,743 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 16:14:14,087 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 16:14:16,083 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 16:27:33,339 | INFO     | ITS_App:64 | [Route] 转交业务专家: test...
2026-03-22 16:28:44,695 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 16:29:30,113 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 16:29:41,269 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 16:33:28,120 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 16:33:35,612 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 16:34:08,826 | INFO     | ITS_App:154 | [Location] IP location success: 117.162.112.68 → (28.275237, 117.974394)
2026-03-22 16:34:11,901 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (28.275237281092302, 117.97439350685255)
2026-03-22 16:47:41,839 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 16:48:18,045 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 16:48:21,460 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 16:54:23,764 | INFO     | ITS_App:27 | [Route] 转交技术专家: 今天小米股价多少...
2026-03-22 17:02:46,475 | INFO     | ITS_App:27 | [Route] 转交技术专家: 如何用U盘安装Windows 7...
2026-03-22 17:03:03,347 | ERROR    | ITS_App:36 | 发送请求获取知识库服务下的知识库数据失败:Server error '500 Internal Server Error' for url 'http://127.0.0.1:8001/query'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500
2026-03-22 17:03:18,557 | INFO     | ITS_App:27 | [Route] 转交技术专家: 如何用U盘安装Windows 7...
2026-03-22 17:07:48,393 | INFO     | ITS_App:56 | [Route] 转交业务专家: 怎么去颐和园...
2026-03-22 17:08:26,307 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 17:23:14,685 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 17:23:28,353 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 17:24:03,292 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 17:24:06,136 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 17:26:39,458 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 17:27:19,951 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 17:27:22,975 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 17:42:50,047 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 17:43:36,152 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 17:47:48,308 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 17:48:27,708 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 17:50:21,973 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 17:50:30,229 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 17:57:37,860 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 17:58:18,228 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 17:58:25,069 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 18:17:00,334 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
2026-03-22 18:17:41,641 | INFO     | ITS_App:168 | [Location] Using fallback coordinates (Beijing)
2026-03-22 18:17:47,484 | INFO     | ITS_App:250 | [NearestShops] Found 3 shops near (39.9042, 116.4074)
2026-03-22 18:18:04,844 | INFO     | ITS_App:56 | [Route] 转交业务专家: 我想去小米之家修电脑...
